experiment,phi,param,mean,std,n,n_realizations
spurious,rms,-4.0,0.678245415472772,0.03402620485853765,16384,10
spurious,rms,-3.5,0.6771460566024012,0.03353683952396836,16384,10
spurious,rms,-3.0,0.6764476996339741,0.033156944128520695,16384,10
spurious,rms,-2.5,0.676187956837371,0.033005400610466175,16384,10
spurious,rms,-2.0,0.6763553762770315,0.03325428040735747,16384,10
spurious,rms,-1.5,0.6768256945157733,0.03410147329454605,16384,10
spurious,rms,-1.0,0.6772398043161233,0.035682478433342504,16384,10
spurious,rms,-0.5,0.6767590921237752,0.03792787875970111,16384,10
spurious,rms,0.0,0.6734843909583558,0.04035610266633975,16384,10
spurious,rms,0.5,0.6629925320360156,0.041558205353223965,16384,10
spurious,rms,1.0,0.6357622467913798,0.03823207594040519,16384,10
spurious,rms,1.5,0.5800427157470495,0.0273078243952026,16384,10
spurious,rms,2.0,0.5027141547966585,0.016037347302756935,16384,10
spurious,rms,2.5,0.4283038347794391,0.014132565537351342,16384,10
spurious,rms,3.0,0.36848098609079577,0.015897064748579964,16384,10
spurious,rms,3.5,0.32251493076637605,0.017229717740485817,16384,10
spurious,rms,4.0,0.28698957768978167,0.018010326031412123,16384,10
spurious,mad,-4.0,0.6926610931742816,0.03374021432928554,16384,10
spurious,mad,-3.5,0.6887491407953287,0.03263380371201197,16384,10
spurious,mad,-3.0,0.6854275328427011,0.03176090729808857,16384,10
spurious,mad,-2.5,0.6827852325062496,0.03127326866035124,16384,10
spurious,mad,-2.0,0.6808411059940749,0.031385020049845516,16384,10
spurious,mad,-1.5,0.6794911389164,0.03239830116247849,16384,10
spurious,mad,-1.0,0.6783647371165783,0.03460352904993257,16384,10
spurious,mad,-0.5,0.6765297174641226,0.03798650020829686,16384,10
spurious,mad,0.0,0.6718844222433632,0.04191652746936355,16384,10
spurious,mad,0.5,0.6596365622831677,0.04474119498628285,16384,10
spurious,mad,1.0,0.6296420026307044,0.042967022112824764,16384,10
spurious,mad,1.5,0.5702874803723008,0.0342339950013185,16384,10
spurious,mad,2.0,0.49059148949531795,0.02708058967310643,16384,10
spurious,mad,2.5,0.41568138367719853,0.027708624324126366,16384,10
spurious,mad,3.0,0.356093690009165,0.030534181446214472,16384,10
spurious,mad,3.5,0.31043042763651246,0.03289289056517552,16384,10
spurious,mad,4.0,0.27510414324900123,0.03460033591207729,16384,10
spurious,q0.75,-4.0,0.686711905489952,0.037715853005373036,16384,10
spurious,q0.75,-3.5,0.6847223640379075,0.0367310806963923,16384,10
spurious,q0.75,-3.0,0.6831455982240359,0.03580421021264235,16384,10
spurious,q0.75,-2.5,0.6820277447043642,0.035045020650354045,16384,10
spurious,q0.75,-2.0,0.6813734086746747,0.034626322237701616,16384,10
spurious,q0.75,-1.5,0.6810871005027739,0.0347806002406934,16384,10
spurious,q0.75,-1.0,0.6808486589833512,0.035726126740933714,16384,10
spurious,q0.75,-0.5,0.6798593267510525,0.0374964236294485,16384,10
spurious,q0.75,0.0,0.6762553758356887,0.039699517377501846,16384,10
spurious,q0.75,0.5,0.6656041626020043,0.041006412085067535,16384,10
spurious,q0.75,1.0,0.6381387619337311,0.03816441539314286,16384,10
spurious,q0.75,1.5,0.5816167757659739,0.0282775307667728,16384,10
spurious,q0.75,2.0,0.5032391881745201,0.018555812793435607,16384,10
spurious,q0.75,2.5,0.42815226586733246,0.016768332832145218,16384,10
spurious,q0.75,3.0,0.36794351121939367,0.018058366689588615,16384,10
spurious,q0.75,3.5,0.32171045157452405,0.019321305894085476,16384,10
spurious,q0.75,4.0,0.28596455541381127,0.020285006500576293,16384,10
spurious,huber,-4.0,0.6809436606553254,0.03585683024304105,16384,10
spurious,huber,-3.5,0.6791004559058698,0.035107386796751794,16384,10
spurious,huber,-3.0,0.677699222473702,0.034466991460124385,16384,10
spurious,huber,-2.5,0.6767900437476769,0.03404765916068228,16384,10
spurious,huber,-2.0,0.6763750780445513,0.0340259529093718,16384,10
spurious,huber,-1.5,0.676344246625678,0.034636126021570075,16384,10
spurious,huber,-1.0,0.6763445464147395,0.03608362697281474,16384,10
spurious,huber,-0.5,0.6755263596011898,0.038360489663809366,16384,10
spurious,huber,0.0,0.6719699498023965,0.041011057419442325,16384,10
spurious,huber,0.5,0.6612066660085565,0.04264168995624961,16384,10
spurious,huber,1.0,0.6335265279376077,0.0399988412288472,16384,10
spurious,huber,1.5,0.576910270430659,0.030378808601199198,16384,10
spurious,huber,2.0,0.4986286120460813,0.021310346116373547,16384,10
spurious,huber,2.5,0.4236804841425414,0.02032466514605653,16384,10
spurious,huber,3.0,0.363562930496609,0.022173300014423067,16384,10
spurious,huber,3.5,0.3173604690682051,0.023784037819596798,16384,10
spurious,huber,4.0,0.28160194414138096,0.024916992888502902,16384,10
