experiment,phi,param,mean,std,n,n_realizations
finitesize,rms,fGn H=0.7|m=1|n=1024,0.06099714575816226,0.06098213802323313,1024,50
finitesize,rms,fGn H=0.7|m=1|n=2048,0.045465329091636204,0.04370432844155296,2048,50
finitesize,rms,fGn H=0.7|m=1|n=4096,0.037724210762152884,0.037718625699518796,4096,50
finitesize,rms,fGn H=0.7|m=1|n=8192,0.02565741906809933,0.025639618962730173,8192,50
finitesize,rms,fGn H=0.7|m=1|n=16384,0.028973293282394626,0.028678806594765693,16384,50
finitesize,rms,fGn H=0.7|m=2|n=1024,0.05820240284411663,0.05778202010708441,1024,50
finitesize,rms,fGn H=0.7|m=2|n=2048,0.04167247168046324,0.04044311227421396,2048,50
finitesize,rms,fGn H=0.7|m=2|n=4096,0.03359176639391989,0.03358842980202897,4096,50
finitesize,rms,fGn H=0.7|m=2|n=8192,0.024588828792967716,0.02453578838534995,8192,50
finitesize,rms,fGn H=0.7|m=2|n=16384,0.023487725111481412,0.023397617640831415,16384,50
finitesize,rms,fGn H=0.7|m=3|n=1024,0.04834718811383811,0.04789669674033318,1024,50
finitesize,rms,fGn H=0.7|m=3|n=2048,0.03440050881993024,0.03326795259181975,2048,50
finitesize,rms,fGn H=0.7|m=3|n=4096,0.028050517106825112,0.027943506800015297,4096,50
finitesize,rms,fGn H=0.7|m=3|n=8192,0.02383087989811806,0.023561837323143216,8192,50
finitesize,rms,fGn H=0.7|m=3|n=16384,0.01975714863761793,0.01973679348568878,16384,50
finitesize,q0.75,fGn H=0.7|m=1|n=1024,0.06458548649361188,0.06426688213642692,1024,50
finitesize,q0.75,fGn H=0.7|m=1|n=2048,0.04646275242308564,0.0457071431017297,2048,50
finitesize,q0.75,fGn H=0.7|m=1|n=4096,0.0389908040937729,0.038879334375317966,4096,50
finitesize,q0.75,fGn H=0.7|m=1|n=8192,0.02631205811706594,0.026293069069947002,8192,50
finitesize,q0.75,fGn H=0.7|m=1|n=16384,0.029040451291788436,0.028968704826864256,16384,50
finitesize,q0.75,fGn H=0.7|m=2|n=1024,0.0598350656925108,0.05972378534182065,1024,50
finitesize,q0.75,fGn H=0.7|m=2|n=2048,0.04313763160116602,0.042742590590609565,2048,50
finitesize,q0.75,fGn H=0.7|m=2|n=4096,0.03403393177572117,0.03396864664463399,4096,50
finitesize,q0.75,fGn H=0.7|m=2|n=8192,0.026259070425036817,0.025952431106155468,8192,50
finitesize,q0.75,fGn H=0.7|m=2|n=16384,0.02394029744101191,0.023938939652763135,16384,50
finitesize,q0.75,fGn H=0.7|m=3|n=1024,0.05236966467144971,0.05227425870054962,1024,50
finitesize,q0.75,fGn H=0.7|m=3|n=2048,0.035704484585640475,0.03525457724199596,2048,50
finitesize,q0.75,fGn H=0.7|m=3|n=4096,0.028793393374151686,0.02837629682916077,4096,50
finitesize,q0.75,fGn H=0.7|m=3|n=8192,0.026213797911462777,0.025674783106104795,8192,50
finitesize,q0.75,fGn H=0.7|m=3|n=16384,0.01998294093926752,0.019960694937274075,16384,50
finitesize,huber,fGn H=0.7|m=1|n=1024,0.06559238007695227,0.0655818171951791,1024,50
finitesize,huber,fGn H=0.7|m=1|n=2048,0.05069416596650119,0.04802117054250746,2048,50
finitesize,huber,fGn H=0.7|m=1|n=4096,0.040619120236745784,0.04053642338549782,4096,50
finitesize,huber,fGn H=0.7|m=1|n=8192,0.027911394852186123,0.02783165537294151,8192,50
finitesize,huber,fGn H=0.7|m=1|n=16384,0.031148488826580632,0.03044577163659366,16384,50
finitesize,huber,fGn H=0.7|m=2|n=1024,0.06264403068596196,0.06192647030994347,1024,50
finitesize,huber,fGn H=0.7|m=2|n=2048,0.0463374463226807,0.04453251707427534,2048,50
finitesize,huber,fGn H=0.7|m=2|n=4096,0.03483093200913166,0.034757300902368414,4096,50
finitesize,huber,fGn H=0.7|m=2|n=8192,0.026565009454899053,0.026557919538362885,8192,50
finitesize,huber,fGn H=0.7|m=2|n=16384,0.02497889942069065,0.024660833589160484,16384,50
finitesize,huber,fGn H=0.7|m=3|n=1024,0.05432709791784372,0.05327378687217256,1024,50
finitesize,huber,fGn H=0.7|m=3|n=2048,0.03879423277891204,0.03669099540726709,2048,50
finitesize,huber,fGn H=0.7|m=3|n=4096,0.028790831219278376,0.02878844401024797,4096,50
finitesize,huber,fGn H=0.7|m=3|n=8192,0.02607297590277967,0.026026045454337458,8192,50
finitesize,huber,fGn H=0.7|m=3|n=16384,0.02099348210103811,0.020749136737594452,16384,50
finitesize,rms,stable a=1.5|m=1|n=1024,0.11703198163062987,0.10855025875939213,1024,50
finitesize,rms,stable a=1.5|m=1|n=2048,0.092363293514041,0.08980524158484629,2048,50
finitesize,rms,stable a=1.5|m=1|n=4096,0.07464517758927743,0.07378478854826115,4096,50
finitesize,rms,stable a=1.5|m=1|n=8192,0.04900749927450918,0.048127843577150026,8192,50
finitesize,rms,stable a=1.5|m=1|n=16384,0.04011350324676641,0.039080397606507986,16384,50
finitesize,rms,stable a=1.5|m=2|n=1024,0.11300286899017774,0.103979315414616,1024,50
finitesize,rms,stable a=1.5|m=2|n=2048,0.09133274154167806,0.08796644268007793,2048,50
finitesize,rms,stable a=1.5|m=2|n=4096,0.06834632446638084,0.06695688833780888,4096,50
finitesize,rms,stable a=1.5|m=2|n=8192,0.0467533168855618,0.045610490089087095,8192,50
finitesize,rms,stable a=1.5|m=2|n=16384,0.03793135028566465,0.0361284011448131,16384,50
finitesize,rms,stable a=1.5|m=3|n=1024,0.10877096286111015,0.09765231388060805,1024,50
finitesize,rms,stable a=1.5|m=3|n=2048,0.09411847791892407,0.0896403350215741,2048,50
finitesize,rms,stable a=1.5|m=3|n=4096,0.0657017237428669,0.06373686178472149,4096,50
finitesize,rms,stable a=1.5|m=3|n=8192,0.046470456734203386,0.045002051523036976,8192,50
